,id,superficie,cubierta,precio,piso,expensas,descripcion,ambientes,pileta,seguridad,parrilla,balcon,cochera,geometry,dist_comisarias,dist_subte,dist_trenes,dist_metrobus,antiguedad
152,1090,34.0,30.0,3941.176470588234,,,"Edificio Bulnes Tower, arquitecto Tiscornia, apto profesional, un año de antiguedad. Amplio ambiente lleno de luz, con gran ventanal en L y vista abierta,  excelentes materiales.Posee amenities, pileta, gimnasio, sauna. opcional cochera fija (u$s 35.000)",1,1,0,0,0,1,POINT (-58.40622140000001 -34.5810409),682.8997219285393,924.0728210755743,856.1086492455546,1469.1084340460948,usado
155,1141,149.0,139.0,2885.9060402684563,,,"Edificio Antiguo de Categoria, PP. Living y comedor  a balcon corrido. Toilette. Tres dormitorios Doble circulacion. Cocina, Lavadero y dependencia. Posibilidad de alquilar cochera en edificio.",4,0,0,0,1,1,POINT (-58.4029623 -34.5822561),987.539686010224,781.9718565320399,764.8175193254599,1776.2807464477644,usado
170,1179,130.0,121.0,3369.230769230769,,,"Lindisimo departamento  en duplex sobre Boulevard Cheneaut, Amplia y agradable recepción a balcón corrido. Pisos de parquet. Toilette, Comoda cocina integrada.En la plata superior, tres dormitorios, dos al frente y uno al aire luz. Moderno y canchero. Cochera.""venta supeditada al cumplimiento por parte del propietario de los requisitos de la Resolución General 2371 de la AFIP.”",4,0,0,0,1,1,POINT (-58.43273170000001 -34.57184539999999),593.7662567174532,424.9159890984689,452.93685994689855,658.4091730652418,usado
173,1309,89.0,82.0,2797.752808988764,,,"Semipiso al frente, living comedor a balcón corrido con pisos de parquet de roble, excelente plano pues cuenta con dos dormitorios y un tercer dormitorio o dependencia. toilette y baño completo. cómoda cocina y lavadero. Cochera. baulera. ",4,0,0,0,1,1,POINT (-58.4161744 -34.590033),256.25672148884604,490.08823380947797,1592.6179936096314,1177.6229727587845,usado
192,1485,35.0,35.0,2947.093996776883,,,Características:>Pisos Flotantes>Carpinterías de Aluminio>Muebles de Cocina revestidos en Melanina>Anafes Eléctricos>Mesadas de Granito en Cocina y Mármol en Baño>Griferías y artefactos Sanitarios>Hall de Acceso de Moderno Diseño>Aire Acondicionado Frío y Calor Instalado>Agua Caliente Central>LaundryCercanía con los barrios de Belgrano Colegiales y Las Cañitas. Cerca de las estaciones de Subte D: Ministro Carranza y Olleros.,1,0,0,0,0,0,POINT (-58.43896695340001 -34.5732374988),7.95018353343063,421.8583292722973,457.49947698167966,154.5228936549151,usado
194,1487,37.0,37.0,2628.795590703673,,,Características:>Pisos Flotantes>Carpinterías de Aluminio>Muebles de Cocina revestidos en Melanina>Anafes Eléctricos>Mesadas de Granito en Cocina y Mármol en Baño>Griferías y artefactos Sanitarios>Hall de Acceso de Moderno Diseño>Aire Acondicionado Frío y Calor Instalado>Agua Caliente Central>Laundry.Cercanía con los barrios de Belgrano Colegiales y Las Cañitas. Cerca de las estaciones de Subte D: Ministro Carranza y Olleros.,1,0,0,0,0,0,POINT (-58.4390098688 -34.5733788449),9.24112527443348,417.52913502352715,452.2649650123552,162.2861214705036,usado
196,1489,33.0,30.0,4190.909090909091,1.0,1100.0,Venta de Departamento 1 AMBIENTE en Las Cañitas Apto creditoedificio de categoríael dep se entrega con black outs y aire acondicionadococina a gas de muy buena calidadcalefacción y agua caliente individual caldera en la unidadhay otros deps de otras dimensiones y en otros pisos disponiblescochera optativahonorarios inmob 3%consulte financiaciónListos para escriturar -  - MAGMA EMPRENDIMIENTOS,1,0,0,0,0,1,POINT (-58.4337564 -34.5679842),759.2970124998699,806.3809702394378,633.255257090628,767.312700615895,usado
219,1631,38.0,38.0,2368.421052631579,,1500.0,"VENTA DEPARTAMENTO PALERMO SOHO DE 1 AMBIENTE APTO PROFESIONAL AL FRENTE CON AMENITIES: PILETA, PARRILLA, SUM,SPLIT, ANTIGUEDAD 2 AÑOS,38MTS. EXPENSAS $1.500. PALERMO SOHO, COMUNICARSE: INMOBILIARIA - ESTUDIO JURIDICO HEYACA VARELA & aoc. de lunes a viernes en el horario de 10 a 13hs. y de 15.30 a 19hs. al 4832-6326.-EL BARRIO BOHEMIO DE BUENOS AIRES Así como Nueva York, igual que en Londres, Buenos Aires posee su propio Soho. Y como no podía ser de otra manera, la zona de la bohemia y la creatividad se encuentra en el barrio de Palermo. Allí, en los últimos 20 años ha venido creciendo una zona que hoy todos conocen como Palermo Soho. Sus características particulares y la impronta que diseñadores, decoradores, artistas plásticos y una variada oferta gastronómica han hecho que este reducto de Palermo tenga su propia identidad. Un barrio dentro de otro barrio. Los vecinos de esta área, delimitada por las avenidas Córdoba, Juan B. Justo, Scalabrini Ortiz y la calle Guatemala, se sientan orgullosos de las transformaciones que muestra su barrio.",1,1,0,1,0,0,POINT (-58.4236546 -34.5899723),454.60132731639646,885.696285102446,1299.2343710701196,1040.0494045979474,estrenar
229,4300,36.0,32.0,3611.111111111111,,,"Monoambiente con balcon al contrafrente36 m2 Cocina incorporada con barraBaño completo Cortinas y artefactos instalados1 aire acondicionado frio/calorCochera Opcional U$S 30.000SEGURIDAD 24 HSEdificio con amenities: Sum en ultimo piso, gimnasio, sauna, piscina en planta baja, sala de estar, laundryExcelente edificio Las medidas son aproximadas, las reales surgirán de la escritura correspondiente",1,1,1,0,1,1,POINT (-58.4232966 -34.57114960000001),1294.4921516484765,836.6467414823683,93.9087828857865,772.4189519631999,usado
233,4313,92.0,87.0,3913.0434782608704,,,"PALERMO 4 AMBIENTES CON DEPENDENCIA ( con su baño)  BAÑO Y TOILLETTE COCHERA FIJA BALCON CFTE LUMINOSO ATERRAZADO, PALIER SEMI PRIVADO DOBLE CIRCULACION. SEGURIDAD TODOS LOS DIAS DE 19.45 A 6.00 HRS. PISOS DE PARQUET Y EN COCINA PORCELANATO.",4,0,1,0,1,1,POINT (-58.40886210000001 -34.5872575),650.3514720199362,248.1708413342062,1526.0645781588805,1427.3468058701142,usado
236,4322,37.0,33.0,2567.5675675675675,,,"CODIGO: 1629-Palholly0001 ubicado en: Ravignani 1350 -  Publicado por: COELLA PROPIEDADES. El precio es de USD 95000 null. Depto a estrenar en pleno Palemo.  Muy Lindo departamento a estrenar en excelente zona. Cocina con muebles bajo mesada y alacenas, horno y termotanque eléctricos. Living comedor integrado y balcón. Memoria Descriptiva:  Los pisos se entregará con porcelanato en estar-comedor y dormitorios. Los baños llevarán porcelanato. Las carpinterías de aluminio son línea Módena de Aluar. Cocina con muebles bajo mesada y alacenas y mesada en mármol. El equipamiento de cocina es eléctrico, tanto horno, anafe como termotanque. El departamento es un monoambiente. La superficie es de 37 m2 y el valor de la cochera es de usd 25.000 . Publicado a través de Mapaprop",1,0,0,0,1,1,POINT (-58.4429864 -34.58491710000001),972.0011209228979,863.8999599216594,944.0982815757344,757.0831480865323,estrenar
238,4335,38.0,38.0,2500.0,,1500.0,"CODIGO: 1114-95 ubicado en: AV. RAUL S. ORTIZ 1400 -  Publicado por: HEYACA VARELA & ASOC. INMOBILIARIA - ESTUDIO JURIDICO. El precio es de USD 95000 null. VENTA DEPARTAMENTO PALERMO SOHO DE 1 AMBIENTE APTO PROFESIONAL AL FRENTE CON AMENITIES: PILETA, PARRILLA, SUM,SPLIT, ANTIGUEDAD 2 AÑOS,38MTS. EXPENSAS $1.500.  PALERMO SOHO, COMUNICARSE: INMOBILIARIA - ESTUDIO JURIDICO HEYACA VARELA & aoc. de lunes a viernes en el horario de 10 a 13hs. y de 15.30 a 19hs. al  EL BARRIO BOHEMIO DE BUENOS AIRES Así como Nueva York, igual que en Londres, Buenos Aires posee su propio Soho. Y como no podía ser de otra manera, la zona de la bohemia y la creatividad se encuentra en el barrio de Palermo. Allí, en los últimos 20 años ha venido creciendo una zona que hoy todos conocen como Palermo Soho. Sus características particulares y la impronta que diseñadores, decoradores, artistas plásticos y una variada oferta gastronómica han hecho que este reducto de Palermo tenga su propia identidad. Un barrio dentro de otro barrio. Los vecinos de esta área, delimitada por las avenidas Córdoba, Juan B. Justo, Scalabrini Ortiz y la calle Guatemala, se sientan orgullosos de las transformaciones que muestra su barrio.  Av. Raul Scalabrini Ortiz Al 1400 Esquina Gorriti, Palermo Soho. . Publicado a través de Mapaprop",1,1,0,1,0,0,POINT (-58.4269654 -34.5921821),65.68239991586921,1175.587954627649,1518.1653533896495,1039.8251096833355,estrenar
336,5136,65.0,65.0,2692.3076923076924,7.0,,"Corredor Responsable: Marcelo Trujillo - CUCICBA 6470 / CMCPDJLM 810Contacto: Clara Grassi - MLS ID # 420261077-5LUMINOSO DEPARTAMENTO DE 3 AMBIENTES EN LAS CAÑITAS. Al frente. Listo para mudarte, excelente estado, dos dormitorios muy luminosos, uno con acceso directo al baño, de gran tamaño. El segundo dormitorio tiene un gran placard. Ambos tienen Impecable piso de madera igual que en el living comedor, de muy buen tamaño. La cocina tiene modernos muebles bajo mesada y alacena, mucho lugar de guardado, barra desayunadora hacia el living, conexion para el lavarropas, y entrada de servicio. No podes dejar de verlo, excelente ubicacion, excelente estado, gran oportunidad.",3,0,0,0,0,0,POINT (-58.432487 -34.573725),595.3923170604269,282.39111466575804,294.67738223891115,467.08691070467535,usado
340,5194,50.0,50.0,2718.0,,,"Excelente departamento de 3 ambientes, rafaccionado totalmente Pintado. (Pisos, Muebles, Cañerias en muy buen estado),  Ubicado en la zona mas hermosa de Las Cañitas.APTO CRÉDITO!!!ALQUILER TEMPORAL MENSUAL U$S 1.000 PAQUETE COMPLETO.-Departamento interno , Metros cubiertos 50 . Dos dormitorios, cocina completa con hermosa alacena y bajomesada, Lavadero con respirador hacia el pulmón del edificio. Pisos de parquet. SERVICIOS: - Gas Natural- CalefonEXPENSAS $1600 APROX.NOTA: Las medidas, superficies y datos contenidos en esta ficha son estimativos, y al solo efecto orientativo. Los originales surgirán del titulo de propiedad. La venta de este inmueble esta sujeta a la tramitación del código de transferencia de inmuebles (COTI), de conformidad con la normativa vigente (Res. AFIP 2371/08, 2439/08 y ccs.) por parte del propietario.",3,0,0,0,0,0,POINT (-58.4337231 -34.5724043),490.53950620992765,329.7374176885048,362.4748874189842,599.2715944151103,usado
346,5223,75.0,75.0,2493.333333333333,,,"Departamento de 3 ambientes con dependencia excelente estado Edificio de Categoría con seguridad las 24hs y portero , inmejorable ubicación en el corazón de Cañitas sobre Av. Luis Maria Campos , a 2 cuadras de Hospital Militar , 1 cuadra de Boulevard Olleros . expensas $3000",3,0,1,0,0,0,POINT (-58.4393563 -34.56622),787.2302478748143,643.9016869664704,518.2356982452552,622.322174539426,usado
348,5229,55.0,51.0,4818.181818181818,,,"El precio de la cochera no está incuida en el precio U$S52.500Baulera U$S8500Moderno, elegante, único. Un proyecto con la firma de uno de los estudios de arquitectura más reconocidos del país. Palermo Nuevo un lugar consolidado y con mayor valorización de la ciudad.Servicios y amenities completos para todos. Ideal para invertir o vivir. Ideal para desfrutar de cualquier manera.Unidad 042 ambCocina semi integrada Toilette de recepciónDormitorio en suiteCochera fijaAmenities de excelente calidadENTREGA MARZO 2017",2,0,0,0,0,1,POINT (-58.4232966 -34.57114960000001),1294.4921516484765,836.6467414823683,93.9087828857865,772.4189519631999,estrenar
352,5235,42.0,40.0,3095.238095238096,,,"Edificio de 3 años de antiguedadMono ambiente divisibleContrafrentebaño con bañeracocina a gasmuebles de cocina, alacena y bajo mesadacocina a gas y extractor de acero inoxidablepisos de porcelanato",1,0,0,0,0,0,POINT (-58.4347782312 -34.57115183760001),451.8887206735556,447.2054655479993,486.88911284138334,519.3670655233584,usado
355,5243,118.0,114.0,2796.610169491525,,,"CERCA DE PARQUE LAS HERAS Y JARDÍN BOTÁNICO, EXCELENTE ENTORNO EDILICIO, MUY LUMINOSO AL FRENTE GRAN RECEPCIÓN, 3 DORMITORIOS (UNO ESTA TRANSFORMADO EN COMEDOR PERO PUEDE VOLVER A SU ANTERIOR ESTADO), COCINA COMEDOR, DEPENDENCIA, 3 BAÑOS, DORMITORIOS CON PLACARD PISOS DE PARQUET, PALIER SEMI PRIVADO. BAULERA INDIVIDUAL...",5,0,0,0,0,0,POINT (-58.4145491 -34.5839031),303.33803780547004,189.6466885685219,1250.755369654621,790.3823853818898,usado
367,5295,76.0,76.0,4868.421052631579,,,"Corredor Responsable: Ariel Champanier - C.U.C.I.C.B.A. 4330Contacto: Gabriela Gel - MLS ID # 181155-286OPORT -Increible departamento en PALERMO VIEW,  VISTA  ABIERTA ESPECTACULAR! Planta super comoda. Son 2 suites. Cocina y lavadero independiente. Toilette de recepcion. Verlo es comprarlo! El departamento tiene COCHERA Y BAULERA. Balck.outs, roller screen y mamparas en los baños. Tiene 3 Equipos Multisplit de Aire Frio Calor. Mejor que  a estrenar. Muy top y mucha onda! BAJAS EXPENSAS!!! Inmejorable Ubicacion y Accesos!  Palermo View. 2 Torres con excelentes servicios y accesos. En el corazón de Palermo, con una vista maravillosa.  SPA,GYM, INTERNET, SALA DE REUNIONES, PISCINAS, EGURIDAD, GRUPO ELECTROGENO, LAUNDRY, VESTUARIOS DE PERSONAL, ETC. Torre Luis Maria Campos de 27 pisos y Torre Santa Fe de 30 pisos. Planta Baja con gran desarrollo de servicios y paisajístico. TOP CLUB panorámico en cada Torre con Spa, Gym, Internet, Sala de reuniones y Piscinas. Seguridad, control y cerco perimetral, circuito cerrado de TV y casetas de control. En Subsuelos:Laudry, vestuarios de personal, lockers room, cocheras y bauleras. Ascensores de ultima tecnología y alta velocidad. Central de comunicación entre unidades y áreas comunes. Grupo Electrógeno. Estacionamiento de visitas. Deck con parrillas. SUM Adultos. Guardería y SUM para jóvenes. Plaza Central de 1000 m2. Juegos de niños y cancha de futbol. Control de acceso.   ",3,1,1,1,0,1,POINT (-58.430473 -34.576945),876.7182395374678,460.4332294404586,402.1882544583752,87.64279776729614,estrenar
391,5431,36.0,,3055.555555555556,,1500.0,"Venta de Departamento MONOAMBIENTE en Palermo, Capital Federal. Departamento monoambiente con cocina y baño completo. -  - YAMAMOTO NEGOCIOS INMOBILIARIOS",1,0,0,0,0,0,POINT (-58.4280872 -34.5834145),736.0543729290698,595.1977539180617,563.7399445197427,247.25586651085462,usado
393,5441,50.0,41.0,4012.0,,2550.0,"VENTA 2 AMBIENTES A ESTRENAR CON COCHERA EN PALERMO SOHOPONT BLEU es un complejo arquitectónico compuesto por dos torres residenciales de gran jerarquía, una sobre la calle Honduras y otra sobre Gorriti.Espectacular 2 ambientes a estrenar, todo externo y muy luminoso,  consta de un living-comedor con salida a gran balcon a la calle, baño completo y toilette, cocina eléctrica y un dormitorio en suite con gran placard con interiores.Losa radiante individual, agua caliente central.Cochera cubierta fija dentro del precio.Amenities: 2 piletas, gimansio, parrillas, sum, loundry, seguridad 24 hs, microcine.La superficie es aproximada, la real sale del titulo de propiedad. -  - BAIRESLODGE",2,1,1,1,1,1,POINT (-58.4209485621 -34.5942287518),642.3452050554785,991.3394373519278,1817.8568015807407,1508.5159597952045,estrenar
394,5442,43.0,38.0,4323.2558139534885,,2116.0,"VENTA 2 AMBIENTES A ESTRENAR CON COCHERA EN PALERMO SOHOPONT BLEU es un complejo arquitectónico compuesto por dos torres residenciales de gran jerarquía, una sobre la calle Honduras y otra sobre Gorriti.Espectacular 2 ambientes a estrenar, todo externo y muy luminoso, consta de un living-comedor con salida a gran balcon a la calle, baño completo y toilette, cocina eléctrica y un dormitorio en suite con vestidor.Losa radiante individual, agua caliente central.Cochera cubierta fija dentro del precio.Amenities: 2 piletas, gimansio, parrillas, sum, loundry, seguridad 24 hs, microcine.La superficie es aproximada, la real sale del titulo de propiedad. -  - BAIRESLODGE",2,1,1,1,1,1,POINT (-58.4209485621 -34.5942287518),642.3452050554785,991.3394373519278,1817.8568015807407,1508.5159597952045,estrenar
410,5498,52.0,52.0,6307.692307692309,,,"Increible depto ALTO con vista completamente abierta al río, polo y ciudad!! - A ESTRENAR!!!Dto. al frente - LIVING / COMEDOR, BALCÓN ATERRAZADO, TOILETTE, 1 DORMITORIO (SUITE), COCHERA FIJA, BAULERA, SEG. 24 HS., AMENITIES, LAUNDRY - Cocina equipada con horno y anafe eléctrico Smeg y campana de acero inox.",2,0,0,0,1,1,POINT (-58.4248123 -34.5774231),709.8909177214579,138.1557646578922,196.79633237898562,157.2767097741111,estrenar
454,5840,35.0,30.0,2340.0,,,REGIO MONOAMBIENTE! AL FRENTE!!! SUPER LUMINOSO! COCINA SEPARADA! CON BALCON CORRIDO! MUY BUENA ZONA CALLE TRANQUILA ! IDEAL ESTUDIANTE!!! O INVERSION. VALE LA PENA VERLO!!!                 Aviso publicado por Pixel Inmobiliario (Servicio de Páginas Web para Inmobiliarias).,1,0,0,0,1,0,POINT (-58.42080479999999 -34.5842007),195.99735249107707,311.530045703886,821.05753289316,412.6426420665815,usado
